Language, Model, Accuracy, Time
ar, c+b, 0.9873709082603455, 5710.757879734039
bg, c+b, 0.9661878943443298, 2173.871341228485
cs, c+b, 0.9563822746276855, 3740.177994251251
da, c+b, 0.941026508808136, 2678.599080324173
de, c+b, 0.8974673748016357, 2868.4667689800262
en, c+b, 0.9108623266220093, 2463.0300941467285
es, c+b, 0.9377593398094177, 3985.3417313098907
eu, c+b, 0.9331254363059998, 2100.97794508934
fa, c+b, 0.9594308137893677, 3583.603231906891
fi, c+b, 0.9110503792762756, 2120.793015241623
fr, c+b, 0.9334568381309509, 3679.9664726257324
he, c+b, 0.941608190536499, 3870.2756357192993
hi, c+b, 0.9453852772712708, 3282.2936408519745
hr, c+b, 0.9386666417121887, 2292.4169430732727
id, c+b, 0.884465217590332, 2847.5985283851624
it, c+b, 0.9491417407989502, 3123.683188199997
nl, c+b, 0.8995523452758789, 2170.140469312668
no, c+b, 0.9377704858779907, 2312.7394297122955
pl, c+b, 0.9551844000816345, 1594.109666109085
pt, c+b, 0.9519345760345459, 3293.610532283783
sl, c+b, 0.9530683159828186, 2572.216305732727
sv, c+b, 0.9505815505981445, 2019.2101097106934
