Language, Model, Accuracy, Time
ar, w+c_p_f, 0.9852129817008972, 3647.3193788528442
bg, w+c_p_f, 0.9572264552116394, 1526.8528370857239
cs, w+c_p_f, 0.9526218771934509, 1829.419994354248
da, w+c_p_f, 0.9427260160446167, 1881.4915482997894
de, w+c_p_f, 0.8941479921340942, 2054.4080250263214
en, w+c_p_f, 0.9115397334098816, 1752.5113439559937
es, w+c_p_f, 0.9464353322982788, 2701.019329547882
eu, w+c_p_f, 0.9232789278030396, 1472.321813583374
fa, w+c_p_f, 0.9662339687347412, 2403.4889991283417
fi, w+c_p_f, 0.8973742127418518, 1452.240475177765
fr, w+c_p_f, 0.9334568381309509, 2472.775391101837
he, w+c_p_f, 0.9434226751327515, 2556.5620770454407
hi, w+c_p_f, 0.9487158060073853, 2137.588136434555
hr, w+c_p_f, 0.9161211848258972, 1581.7583298683167
id, w+c_p_f, 0.9016978144645691, 1948.4125440120697
it, w+c_p_f, 0.9485026001930237, 2079.5227959156036
nl, w+c_p_f, 0.9029543399810791, 1539.0389404296875
no, w+c_p_f, 0.9388026595115662, 1556.2753052711487
pl, w+c_p_f, 0.9472512006759644, 1080.4965724945068
pt, w+c_p_f, 0.9570479393005371, 2158.4965806007385
sl, w+c_p_f, 0.945175290107727, 1702.421834230423
sv, w+c_p_f, 0.9478824138641357, 1389.6810874938965
