Language, Model, Accuracy, Time
ar, w+c_p, 0.9868403077125549, 7009.732588768005
bg, w+c_p, 0.9526503682136536, 2896.249294281006
cs, w+c_p, 0.9546630382537842, 3437.8749685287476
da, w+c_p, 0.9440856575965881, 3507.5104563236237
de, w+c_p, 0.8973444104194641, 3857.3421092033386
en, w+c_p, 0.9246892333030701, 3204.038979768753
es, w+c_p, 0.9434176087379456, 5120.944524526596
eu, w+c_p, 0.9291048049926758, 2913.0997433662415
fa, w+c_p, 0.9669204950332642, 4557.287598371506
fi, w+c_p, 0.9048140048980713, 2985.9779698848724
fr, w+c_p, 0.9291821122169495, 4717.889307022095
he, w+c_p, 0.9461442828178406, 4747.296397686005
hi, w+c_p, 0.955009937286377, 4118.750947713852
hr, w+c_p, 0.9270303249359131, 3126.213717699051
id, w+c_p, 0.887606143951416, 3878.987699985504
it, w+c_p, 0.9558072090148926, 4130.387461900711
nl, w+c_p, 0.898478090763092, 3022.5448637008667
no, w+c_p, 0.9432309865951538, 3178.706258535385
pl, w+c_p, 0.9526791572570801, 2285.446692943573
pt, w+c_p, 0.9550026059150696, 4434.8594622612
sl, w+c_p, 0.9382777214050293, 3519.059467792511
sv, w+c_p, 0.9556853175163269, 2780.137150287628
