Language, Model, Accuracy, Time
ar, w+c, 0.9881845712661743, 3360.713099718094
bg, w+c, 0.9676496982574463, 1328.9061830043793
cs, w+c, 0.9563189744949341, 1515.8765869140625
da, w+c, 0.9406866431236267, 1548.0715789794922
de, w+c, 0.8988197445869446, 1654.4085273742676
en, w+c, 0.9120975732803345, 1430.2482678890228
es, w+c, 0.9385138154029846, 2275.9926648139954
eu, w+c, 0.9355871081352234, 1237.1587810516357
fa, w+c, 0.9589939117431641, 2064.2768783569336
fi, w+c, 0.915536105632782, 1239.2265934944153
fr, w+c, 0.9385864734649658, 2107.3718824386597
he, w+c, 0.9417731761932373, 2185.6105711460114
hi, w+c, 0.9460062384605408, 1847.2367360591888
hr, w+c, 0.9355151653289795, 1373.427592754364
id, w+c, 0.8864176869392395, 1672.674420595169
it, w+c, 0.9489591121673584, 1845.7967627048492
nl, w+c, 0.9025962352752686, 1314.0595259666443
no, w+c, 0.9383032321929932, 1534.9224138259888
pl, w+c, 0.9519832730293274, 1042.633694410324
pt, w+c, 0.953639030456543, 2100.3893780708313
sl, w+c, 0.9552015662193298, 1625.2361280918121
sv, w+c, 0.9505815505981445, 1286.9806299209595
