Language, Model, Accuracy, Time
ar, w, 0.9049102067947388, 703.8112125396729
bg, w, 0.9020592570304871, 378.2729318141937
cs, w, 0.836948037147522, 422.28338050842285
da, w, 0.8849422335624695, 429.2446644306183
de, w, 0.8344602584838867, 451.5565631389618
en, w, 0.8850414752960205, 409.73350405693054
es, w, 0.8965170979499817, 560.839494228363
eu, w, 0.8575121164321899, 372.3847506046295
fa, w, 0.9402696490287781, 508.8011779785156
fi, w, 0.8024070262908936, 373.3839626312256
fr, w, 0.9058136343955994, 518.4898285865784
he, w, 0.9065566658973694, 539.5751895904541
hi, w, 0.9255715608596802, 481.0860095024109
hr, w, 0.83321213722229, 351.7941257953644
id, w, 0.8451613187789917, 438.3727865219116
it, w, 0.9120708703994751, 492.1395823955536
nl, w, 0.7758281230926514, 394.5036268234253
no, w, 0.8888925313949585, 411.32495760917664
pl, w, 0.8641614317893982, 335.9716086387634
pt, w, 0.8967104554176331, 517.3946602344513
sl, w, 0.8429211378097534, 436.3237888813019
sv, w, 0.8996908068656921, 361.1473505496979
